Chronologic VCS simulator copyright 1991-2014
Contains Synopsys proprietary information.
Compiler version I-2014.03-2; Runtime version I-2014.03-2;  May 16 00:48 2016
		time,	mlier,	mcand,	clock,	valid,	reset,	start,	prodt
                   0,	10110111,	11011110,	0,	x,	1,	1,	xxxxxxxxxxxxxxxx
                 352,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 356,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 360,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 364,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 368,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 372,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 376,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 380,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 384,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 388,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 392,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 396,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 400,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 404,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 408,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 412,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 416,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 420,	10110111,	00011110,	1,	1,	0,	1,	0001010101110010
                 424,	10110111,	00011110,	0,	1,	0,	1,	0001010101110010
                 425,	10010101,	11011011,	0,	1,	0,	1,	0001010101110010
                 428,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 432,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 436,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 440,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 444,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 448,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 452,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 456,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 460,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 464,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 468,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 472,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 476,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 480,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 484,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 488,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 492,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 496,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 500,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 504,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 508,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 512,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 516,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 520,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 524,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 528,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 532,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 536,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 540,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 544,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 548,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 552,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 556,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 560,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 564,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 568,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 572,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 576,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 580,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 584,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 588,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 592,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 596,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 600,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 604,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 608,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 612,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 616,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 620,	10010101,	11011011,	1,	1,	0,	1,	0111111101110111
                 624,	10010101,	11011011,	0,	1,	0,	1,	0111111101110111
                 625,	11101111,	11111100,	0,	1,	0,	1,	0111111101110111
                 628,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 632,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 636,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 640,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 644,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 648,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 652,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 656,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 660,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 664,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 668,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 672,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 676,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 680,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 684,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 688,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 692,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 696,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 700,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 704,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 708,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 712,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 716,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 720,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 724,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 728,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 732,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 736,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 740,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 744,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 748,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 752,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 756,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 760,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 764,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 768,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 772,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 776,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 780,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 784,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 788,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 792,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 796,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 800,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 804,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 808,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 812,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 816,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 820,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
                 824,	11101111,	11111100,	0,	1,	0,	1,	1110101101000100
                 828,	11101111,	11111100,	1,	1,	0,	1,	1110101101000100
